ID,City,Date,Season,MatchNumber,Team1,Team2,Venue,TossWinner,TossDecision,SuperOver,WinningTeam,WonBy,Margin,method,Player_of_Match,Man_of_the_Match,Team1_Score,Team2_Score
1312010,Multan,2021-02-21,2021,11,Islamabad United,Multan Sultans,Multan Cricket Stadium,Islamabad United,bat,N,Multan Sultans,Runs,10.0,,Player 37,Imad Wasim,197/3,170/6
1312047,Karachi,2022-02-24,2022,14,Peshawar Zalmi,Islamabad United,"National Stadium, Karachi",Islamabad United,bat,N,Peshawar Zalmi,Wickets,1.0,,Player 20,Xavier Bartlett,159/8,161/8
1312028,Rawalpindi,2021-03-11,2021,29,Peshawar Zalmi,Islamabad United,Rawalpindi Cricket Stadium,Islamabad United,bat,N,Islamabad United,Runs,53.0,,Player 24,Naseem Shah,207/5,
1312021,Rawalpindi,2021-03-04,2021,22,Lahore Qalandars,Multan Sultans,Pindi Cricket Stadium,Multan Sultans,field,N,Multan Sultans,Runs,11.0,,Player 13,Sahibzada Farhan,215/7,
1312020,Karachi,2021-03-03,2021,21,Multan Sultans,Karachi Kings,"National Stadium, Karachi",Karachi Kings,bat,N,Multan Sultans,Wickets,5.0,,Player 22,Babar Azam,155/5,193/8
1312031,Rawalpindi,2021-03-18,2021,Qualifier 2,Karachi Kings,Multan Sultans,Rawalpindi Cricket Stadium,Karachi Kings,bat,N,Karachi Kings,Runs,23.0,,Player 14,Naseem Shah,216/6,204/8
1312086,Multan,2023-03-01,2023,19,Karachi Kings,Quetta Gladiators,Multan Cricket Stadium,Karachi Kings,field,N,Karachi Kings,Wickets,7.0,,Player 32,Xavier Bartlett,181/2,115/3
1312063,Rawalpindi,2022-03-12,2022,30,Quetta Gladiators,Karachi Kings,Rawalpindi Cricket Stadium,Karachi Kings,bat,N,Quetta Gladiators,Runs,53.0,,Player 36,Aamer Jamal,160/7,201/5
1312091,Rawalpindi,2023-03-06,2023,24,Quetta Gladiators,Islamabad United,Rawalpindi Cricket Stadium,Quetta Gladiators,bat,N,Islamabad United,Wickets,3.0,,Player 6,Shaheen Afridi,183/6,143/10
1312015,Rawalpindi,2021-02-26,2021,16,Islamabad United,Peshawar Zalmi,Pindi Cricket Stadium,Islamabad United,field,N,Peshawar Zalmi,Wickets,4.0,,Player 25,Khushdil Shah,187/6,144/9
1312107,Multan,2024-02-16,2024,6,Lahore Qalandars,Multan Sultans,Multan Cricket Stadium,Multan Sultans,bat,N,Multan Sultans,Wickets,5.0,,Player 13,David Willey,219/6,165/5
1312081,Rawalpindi,2023-02-24,2023,14,Peshawar Zalmi,Karachi Kings,Pindi Cricket Stadium,Peshawar Zalmi,bat,N,Karachi Kings,Wickets,2.0,,Player 31,Aamer Jamal,170/7,159/10
1312125,Rawalpindi,2024-03-05,2024,24,Peshawar Zalmi,Quetta Gladiators,Rawalpindi Cricket Stadium,Peshawar Zalmi,bat,N,Peshawar Zalmi,Runs,7.0,,Player 25,Mohammad Rizwan,136/3,212/7
1312148,Lahore,2025-02-23,2025,13,Karachi Kings,Islamabad United,"Gaddafi Stadium, Lahore",Karachi Kings,field,N,Islamabad United,Runs,19.0,,Player 26,Usman Khan,128/6,132/10
1312150,Multan,2025-02-25,2025,15,Multan Sultans,Peshawar Zalmi,Multan Cricket Stadium,Peshawar Zalmi,bat,N,Multan Sultans,Runs,42.0,,Player 28,Babar Azam,130/3,114/6
1312066,Multan,2022-03-16,2022,Eliminator,Islamabad United,Karachi Kings,Multan Cricket Stadium,Islamabad United,field,N,Islamabad United,Wickets,3.0,,Player 28,Xavier Bartlett,204/8,131/9
1312060,Multan,2022-03-09,2022,27,Multan Sultans,Karachi Kings,Multan Cricket Stadium,Karachi Kings,field,N,Karachi Kings,Wickets,1.0,,Player 9,Sherfane Rutherford,216/4,117/5
1312153,Karachi,2025-02-28,2025,18,Peshawar Zalmi,Islamabad United,"National Stadium, Karachi",Islamabad United,bat,N,Peshawar Zalmi,Wickets,8.0,D/L,Player 26,Rovman Powell,120/8,125/2
1312071,Multan,2023-02-14,2023,4,Karachi Kings,Peshawar Zalmi,Multan Cricket Stadium,Peshawar Zalmi,field,N,Karachi Kings,Runs,87.0,,Player 8,Haris Rauf,200/5,199/3
1312053,Lahore,2022-03-02,2022,20,Peshawar Zalmi,Lahore Qalandars,"Gaddafi Stadium, Lahore",Peshawar Zalmi,bat,N,Lahore Qalandars,Runs,84.0,,Player 21,Shaheen Afridi,201/9,159/8
1312051,Karachi,2022-02-28,2022,18,Lahore Qalandars,Islamabad United,"National Stadium, Karachi",Islamabad United,field,N,Islamabad United,Runs,83.0,,Player 5,Mohammad Rizwan,160/6,160/3
1312009,Multan,2021-02-20,2021,10,Multan Sultans,Islamabad United,Multan Cricket Stadium,Islamabad United,bat,N,Multan Sultans,Runs,82.0,,Player 20,Iftikhar Ahmed,129/5,132/3
1312161,Multan,2025-03-08,2025,26,Peshawar Zalmi,Islamabad United,Multan Cricket Stadium,Peshawar Zalmi,bat,N,Islamabad United,Wickets,2.0,,Player 29,David Willey,,214/3
1312102,Rawalpindi,2024-02-11,2024,1,Peshawar Zalmi,Quetta Gladiators,Pindi Cricket Stadium,Peshawar Zalmi,field,N,Quetta Gladiators,Runs,60.0,,Player 26,Khushdil Shah,133/2,146/8
1312014,Rawalpindi,2021-02-25,2021,15,Quetta Gladiators,Islamabad United,Rawalpindi Cricket Stadium,Islamabad United,bat,N,Islamabad United,Runs,52.0,,Player 40,Haris Rauf,210/4,146/7
1312018,Rawalpindi,2021-03-01,2021,19,Lahore Qalandars,Islamabad United,Pindi Cricket Stadium,Lahore Qalandars,field,N,Islamabad United,Runs,80.0,,Player 24,Akif Javed,145/3,188/3
1312059,Rawalpindi,2022-03-08,2022,26,Lahore Qalandars,Islamabad United,Rawalpindi Cricket Stadium,Lahore Qalandars,field,N,Islamabad United,Runs,,,Player 15,David Willey,175/2,175/3
1312098,Karachi,2023-03-20,2023,Final,Multan Sultans,Quetta Gladiators,"National Stadium, Karachi",Multan Sultans,field,N,Multan Sultans,Runs,47.0,,Player 17,Azam Khan,218/4,124/3
1312093,Rawalpindi,2023-03-08,2023,26,Quetta Gladiators,Islamabad United,Rawalpindi Cricket Stadium,Quetta Gladiators,field,N,Islamabad United,Wickets,3.0,,Player 40,Haris Rauf,186/4,181/9
1312143,Rawalpindi,2025-02-18,2025,8,Lahore Qalandars,Karachi Kings,Pindi Cricket Stadium,Karachi Kings,bat,N,Lahore Qalandars,Runs,76.0,,Player 2,Mohammad Rizwan,155/10,162/5
1312061,Rawalpindi,2022-03-10,2022,28,Multan Sultans,Islamabad United,Rawalpindi Cricket Stadium,Multan Sultans,field,N,Multan Sultans,Wickets,3.0,D/L,Player 12,Shadab Khan,195/3,145/3
1312137,Multan,2025-02-12,2025,2,Lahore Qalandars,Multan Sultans,Multan Cricket Stadium,Multan Sultans,field,N,Multan Sultans,Runs,44.0,,Player 30,Khushdil Shah,143/5,129/6
1312013,Lahore,2021-02-24,2021,14,Multan Sultans,Lahore Qalandars,"Gaddafi Stadium, Lahore",Multan Sultans,bat,N,Lahore Qalandars,Runs,43.0,,Player 16,Mohammad Nawaz,190/5,156/9
1312108,Multan,2024-02-17,2024,7,Lahore Qalandars,Peshawar Zalmi,Multan Cricket Stadium,Lahore Qalandars,bat,N,Lahore Qalandars,Wickets,1.0,,Player 11,Saim Ayub,163/7,122/5
1312155,Multan,2025-03-02,2025,20,Lahore Qalandars,Islamabad United,Multan Cricket Stadium,Lahore Qalandars,bat,N,Lahore Qalandars,Wickets,8.0,,Player 24,Imad Wasim,146/2,122/9
1312115,Rawalpindi,2024-02-24,2024,14,Multan Sultans,Quetta Gladiators,Pindi Cricket Stadium,Quetta Gladiators,field,N,Multan Sultans,Wickets,,,Player 8,Faheem Ashraf,153/5,185/8
1312060,Multan,2022-03-09,2022,27,Multan Sultans,Karachi Kings,Multan Cricket Stadium,Karachi Kings,field,N,Karachi Kings,Wickets,1.0,,Player 9,Khushdil Shah,216/4,117/5
1312085,Multan,2023-02-28,2023,18,Islamabad United,Quetta Gladiators,Multan Cricket Stadium,Islamabad United,bat,N,Quetta Gladiators,Wickets,5.0,,Player 6,Khushdil Shah,207/9,135/7
1312109,Rawalpindi,2024-02-18,2024,8,Karachi Kings,Islamabad United,Pindi Cricket Stadium,Islamabad United,field,N,Karachi Kings,Wickets,4.0,,Player 1,Sikandar Raza,155/5,195/4
1312048,Rawalpindi,2022-02-25,2022,15,Karachi Kings,Peshawar Zalmi,Rawalpindi Cricket Stadium,Peshawar Zalmi,bat,N,Karachi Kings,Runs,86.0,,Player 14,Naseem Shah,154/5,143/5
1312104,Rawalpindi,2024-02-13,2024,3,Lahore Qalandars,Islamabad United,Pindi Cricket Stadium,Islamabad United,field,N,Lahore Qalandars,Wickets,,,Player 18,Iftikhar Ahmed,173/6,212/9
1312083,Rawalpindi,2023-02-26,2023,16,Quetta Gladiators,Multan Sultans,Pindi Cricket Stadium,Multan Sultans,field,N,Multan Sultans,Wickets,5.0,,Player 3,Shadab Khan,169/3,115/4
1312136,Rawalpindi,2025-02-11,2025,1,Multan Sultans,Quetta Gladiators,Pindi Cricket Stadium,Multan Sultans,field,N,Multan Sultans,Runs,51.0,,Player 31,Tom Kohler-Cadmore,142/9,191/4
1312133,Rawalpindi,2024-03-17,2024,Qualifier 2,Lahore Qalandars,Peshawar Zalmi,Rawalpindi Cricket Stadium,Lahore Qalandars,field,N,Lahore Qalandars,Runs,22.0,,Player 5,Imad Wasim,135/6,183/4
1312105,Multan,2024-02-14,2024,4,Multan Sultans,Peshawar Zalmi,Multan Cricket Stadium,Multan Sultans,field,N,Peshawar Zalmi,Wickets,8.0,,Player 28,Colin Munro,206/3,179/2
1312084,Rawalpindi,2023-02-27,2023,17,Lahore Qalandars,Peshawar Zalmi,Rawalpindi Cricket Stadium,Peshawar Zalmi,field,N,Lahore Qalandars,Wickets,2.0,,Player 12,Babar Azam,133/4,151/6
